video_id,video_title,user_id,author_name,comment_text,timestamp,like_count,label
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UCqusBpJu4JDyia3jyiuBMXA,@EltasyaNatasha,AAAA FINALLY! So happy di penghujung tahun di tgl 25 bisa SING OFF bareng lagi yang ke-25! SEMOGA KALIAN SUKA YAAA<33,2025-11-25T12:39:49Z,758,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UC2dcrq_QohgD7JSzomXJ26Q,@maman_pi,Reza kalau ikut bikin mashup lagu untuk Rewind Indo tahunan bisa banget nih coba diajak harusnya sama Indomusikgram,2025-11-27T01:14:59Z,0,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UCnFBzdZNTUOG3rF9r3Zv2vQ,@yunnisyaridiana-po6pj,Yeyyy sma kak eltasya lagi🎉🎉 kerenn kerenn,2025-11-27T00:55:59Z,0,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UCzURa_Huy2OUutSMEMY9nqw,@TsabitaTata-s5y1z,Angel pengambilan gambar Natasha ciamik...bisa kelihatan manis banged...dari pada sebelum2nya❤,2025-11-27T00:05:36Z,1,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UC3T3I9SLZQr4BvUv2sJgsaA,@AlfaraAurintang,❤❤❤,2025-11-27T00:05:02Z,0,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UC1G_VJPSZB_aqYVmd-jwPbQ,@robithohdwiarini1146,"yok ramein guys, trendingkan",2025-11-26T23:45:26Z,0,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UCJ7lD8LZtGhgyXmoQlzZxcA,@OktoBer-n9r,Merdu dan syahdu,2025-11-26T23:42:23Z,0,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UCuKo6XvHAMJ_BTrtFBkt-Cg,@aurelsabrina6,AS ALWAYSSS LIKE IT !!! akan selalu excited menunggu next part sing off iniiiii,2025-11-26T22:40:27Z,0,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UCCmHdAk_OB8nPRsVqw7s7PA,@Nurdiansyah1307,sering² update dong,2025-11-26T22:27:09Z,0,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UC0ykvO-i5wisnxcT71w4z4Q,@AsrilDarwis-b2k,Nggak nyangka ada blue valentine😢,2025-11-26T19:51:40Z,0,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UCpsm4ARGxpKqcN7-sROAe_g,@yourmine-f4u,Ganyangka bakal ada lagu  Cortis sama H2H walaupun cuma seuprit😭,2025-11-26T19:07:00Z,0,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UCruNrZTexi5BMEXm-3YsH3g,@Zede.14fy,Yoo sama kak Eltasya lagi🔥,2025-11-26T19:06:39Z,0,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UCZHHEJiABmcv20Y7DKfBbUQ,@sebieodaq4035,Ft fatin shidqia lubis. Di tunggu dah dari lama,2025-11-26T17:34:03Z,0,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UCehEK32ffDcPauFefMPDOSg,@putradaruliyan3512,Tim dari series pertama hadir,2025-11-26T17:03:47Z,0,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UCvFxk8KpdkQhf-1gnt_YPXg,@fahrulmicko3336,emang keren bangey,2025-11-26T16:49:39Z,0,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UClRZDJua8OE7q2No5remo2Q,@ctkanekimyw3093,MULTO🔥,2025-11-26T16:37:51Z,0,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UCNUUAUEcUrFwQNQ0GUzm3CQ,@RanduAidanu-c1q,"Ga masuk, kacau bet arensemen nya .",2025-11-26T16:32:25Z,0,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UCF27eYC0uapR-ZwNdxeQxyg,@Vicenzzoo,A Masterpiece as usually ✨,2025-11-26T16:20:22Z,1,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UC4HvV2iN6kG1JwUHMTLzpeg,@RodmanTugan,Multo 😭😭,2025-11-26T16:19:59Z,0,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UC57p0tUvD-tJjsBNtj-Qemg,@fatayatulhalimah8709,On repeat 🥹🫶,2025-11-26T16:11:11Z,0,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UCG_qwpblaaaoqTom4TMsMsA,@bahaudinz,1:16,2025-11-26T15:58:29Z,0,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UCRvu45o_o8neyDnGm_aXsWQ,@missradaa,Suaranya nyatuu bangettt 😍 Eh surprise ada Daises di akhir yeayy tysm ❤,2025-11-26T15:53:52Z,0,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UC2tWS82riHSIoypkuYyqlVw,@AuliaRahmanl,"#28 musik Trending di tangga lagu
155 rb x ditonton  1 hari yang lalu
155.281 x ditonton  Telah tayang perdana pada 25 Nov 2025",2025-11-26T15:40:17Z,1,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UCaq7dZa56o0JwO85GmhVOoA,@sugihgumelar8429,Pasti hadir dong,2025-11-26T15:35:07Z,0,
IaoPWD4I9JM,"SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha",UC95RQTkAhlNBfpDURRa9NIw,@Sembarang881,UP!!! TRENDING!!!,2025-11-26T15:31:17Z,0,
